DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2016.03.04-12.08.32, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=1.578022ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufD223CF__6E11DEA2C9632F991F5F70FEBAF925CFDA920B64, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=10924754 bytes, Retrieved=true, Duration=11.316303ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufD223CF__3133BEB2A39E7C720F0E9B8A771EB858F6EE4D25, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=9524363 bytes, Retrieved=true, Duration=7.635850ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_3, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufDAB81C__C7979F2E128AF9BAECC5C1183A8A316A121E0CD7, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=159031 bytes, Retrieved=true, Duration=0.109740ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_4, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufDAB81C__39A6AA06EA3BF02E5899F60BD7D59B56270A67E5, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=158302 bytes, Retrieved=true, Duration=0.089951ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufCE8942__EB1DF95B1C4CACB3E3A7F7CB947476F0884E1E6D, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=279020 bytes, Retrieved=true, Duration=0.172704ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_6, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufCE8942__86CF93EAA8A2E6D2945F780A112475F44C9FF8E8, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=278777 bytes, Retrieved=true, Duration=0.146016ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_7, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufD9DB04__140F0ED7709C9DB99F5C863A148F7CB0B4575BF2, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=161386 bytes, Retrieved=true, Duration=0.107039ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_8, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufD9DB04__FBA311E5DAF5F487252754928023063B90326B70, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=160657 bytes, Retrieved=true, Duration=0.089649ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_9, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufED9A90__545E035AA8CDE498EF87D73BAC10B70F0B4CA3A9, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=122091 bytes, Retrieved=true, Duration=0.156514ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_10, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufED9A90__71D572B826E340D5C38AAA2B080EC33D86D541AF, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=121731 bytes, Retrieved=true, Duration=0.080053ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
